File	Time (s)	Graph Size	Kernel Size	k	Constraints (total)	Constraints (needed)
../test_instances/final/50_50/cog_25_296.dimacs	4.37	25	23	29	7200	5566
../test_instances/final/50_50/cog_25_84.dimacs	1.05	25	25	13	7200	7200
../test_instances/final/50_50/cog_26_1505.dimacs	0.13	26	25	6	8125	7200
../test_instances/final/50_50/cog_26_3628.dimacs	7.64	26	26	28	8125	8125
../test_instances/final/50_50/cog_27_1330.dimacs	6.58	27	27	33	9126	9126
../test_instances/final/50_50/cog_27_2415.dimacs	0.30	27	25	13	9126	7200
../test_instances/final/50_50/cog_28_1688.dimacs	7.72	28	28	31	10206	10206
../test_instances/final/50_50/cog_28_261.dimacs	0.29	28	28	10	10206	10206
../test_instances/final/50_50/cog_29_320.dimacs	0.49	29	29	16	11368	11368
../test_instances/final/50_50/cog_29_953.dimacs	25.16	29	28	43	11368	10206
../test_instances/final/50_50/cog_30_1047.dimacs	0.27	30	27	11	12615	9126
../test_instances/final/50_50/cog_30_416.dimacs	9.02	30	29	30	12615	11368
../test_instances/final/50_50/cog_31_1602.dimacs	0.97	31	25	19	13950	7200
../test_instances/final/50_50/cog_31_23.dimacs	5.33	31	31	33	13950	13950
../test_instances/final/50_50/cog_32_1124.dimacs	0.18	32	31	7	15376	7275
../test_instances/final/50_50/cog_32_1344.dimacs	1.27	32	31	25	15376	13950
../test_instances/final/50_50/cog_33_1094.dimacs	12.57	33	33	44	16896	16896
../test_instances/final/50_50/cog_33_1673.dimacs	183.38	33	33	60	16896	16896
../test_instances/final/50_50/cog_34_222.dimacs	12.72	34	34	46	18513	18513
../test_instances/final/50_50/cog_34_3576.dimacs	0.40	34	33	11	18513	16896
../test_instances/final/50_50/cog_35_1137.dimacs	0.32	35	28	9	20230	10206
../test_instances/final/50_50/cog_35_691.dimacs	2.03	35	33	31	20230	16896
../test_instances/final/50_50/cog_36_2275.dimacs	1.97	36	34	24	22050	18513
../test_instances/final/50_50/cog_36_71.dimacs	3.64	36	34	31	22050	18513
../test_instances/final/50_50/cog_37_1715.dimacs	3.19	37	34	34	23976	18513
../test_instances/final/50_50/cog_37_2407.dimacs	199.30	37	37	67	23976	23976
../test_instances/final/50_50/cog_38_211.dimacs	0.27	38	31	4	26011	13950
../test_instances/final/50_50/cog_38_2566.dimacs	309.93	38	38	66	26011	26011
../test_instances/final/50_50/cog_39_1510.dimacs	14.41	39	39	48	28158	28158
../test_instances/final/50_50/cog_39_4.dimacs	15.25	39	39	51	28158	28158
../test_instances/final/50_50/cog_40_1281.dimacs	4.41	40	39	31	30420	28158
../test_instances/final/50_50/cog_40_1327.dimacs	2.90	40	39	28	30420	28158
../test_instances/final/50_50/cog_41_1081.dimacs	7.29	41	41	35	32800	32800
../test_instances/final/50_50/cog_41_280.dimacs	0.71	41	39	12	32800	28158
../test_instances/final/50_50/cog_42_1342.dimacs	11.13	42	42	36	35301	35301
../test_instances/final/50_50/cog_42_165.dimacs	25.26	42	37	56	35301	23976
../test_instances/final/50_50/cog_43_1006.dimacs	347.41	43	43	72	37926	37926
../test_instances/final/50_50/cog_43_1800.dimacs	0.97	43	31	13	37926	13950
../test_instances/final/50_50/cog_44_1288.dimacs	1.25	44	39	17	40678	28158
../test_instances/final/50_50/cog_44_1449.dimacs	30.94	44	43	55	40678	37926
../test_instances/final/50_50/cog_45_875.dimacs	888.63	45	43	87	43560	37926
../test_instances/final/50_50/cog_45_900.dimacs	19.62	45	45	49	43560	43560
../test_instances/final/50_50/cog_46_60.dimacs	0.73	46	39	16	46575	28158
../test_instances/final/50_50/cog_46_686.dimacs	3.31	46	46	26	46575	46575
../test_instances/final/50_50/cog_47_1853.dimacs	2972.14	47	47	98	49726	49726
../test_instances/final/50_50/cog_47_2176.dimacs	0.37	47	36	2	49726	22050
../test_instances/final/50_50/cog_48_1518.dimacs	4.73	48	44	34	53016	40678
../test_instances/final/50_50/cog_48_156.dimacs	21.96	48	45	53	53016	43560
../test_instances/final/50_50/cog_49_1338.dimacs	0.00	49	0	0	56448	0
../test_instances/final/50_50/cog_49_508.dimacs	491.60	49	49	92	56448	56448
../test_instances/final/50_50/cog_50_523.dimacs	213.99	50	50	75	60025	60025
../test_instances/final/50_50/cog_50_981.dimacs	55.40	50	50	63	60025	60025
../test_instances/final/50_50/cog_6_1212.dimacs	0.00	6	0	0	75	0
../test_instances/final/50_50/cog_6_1912.dimacs	0.00	6	0	0	75	0
../test_instances/final/50_50/cog_7_1856.dimacs	0.03	7	7	1	126	126
../test_instances/final/50_50/cog_7_3469.dimacs	0.01	7	6	1	126	75
../test_instances/final/50_50/cog_8_3047.dimacs	0.01	8	8	1	196	196
../test_instances/final/50_50/cog_8_3064.dimacs	0.02	8	8	3	196	196
../test_instances/final/50_50/cog_9_1293.dimacs	0.00	9	0	0	288	0
../test_instances/final/50_50/cog_9_3084.dimacs	0.01	9	9	1	288	288
../test_instances/final/66_50/cog_10_435.dimacs	0.00	10	0	0	405	0
../test_instances/final/66_50/cog_10_911.dimacs	0.00	10	0	0	405	0
../test_instances/final/66_50/cog_11_1859.dimacs	0.02	11	11	3	550	550
../test_instances/final/66_50/cog_11_2703.dimacs	0.01	11	11	2	550	550
../test_instances/final/66_50/cog_12_1072.dimacs	0.02	12	12	2	726	726
../test_instances/final/66_50/cog_12_1930.dimacs	0.02	12	12	2	726	726
../test_instances/final/66_50/cog_13_451.dimacs	0.04	13	13	5	936	936
../test_instances/final/66_50/cog_13_614.dimacs	0.00	13	0	0	936	0
../test_instances/final/66_50/cog_14_1144.dimacs	0.32	14	14	9	1183	1183
../test_instances/final/66_50/cog_14_401.dimacs	0.02	14	13	3	1183	936
../test_instances/final/66_50/cog_15_342.dimacs	0.00	15	0	0	1470	0
../test_instances/final/66_50/cog_15_955.dimacs	0.03	15	15	3	1470	1470
../test_instances/final/66_50/cog_16_1457.dimacs	0.08	16	16	7	1800	1800
../test_instances/final/66_50/cog_16_3052.dimacs	0.08	16	16	8	1800	1800
../test_instances/final/66_50/cog_17_1386.dimacs	0.06	17	17	6	2176	2176
../test_instances/final/66_50/cog_17_3926.dimacs	0.04	17	17	5	2176	2176
../test_instances/final/66_50/cog_18_1804.dimacs	0.11	18	18	8	2601	2601
../test_instances/final/66_50/cog_18_2686.dimacs	0.22	18	18	10	2601	2601
../test_instances/final/66_50/cog_19_3088.dimacs	0.05	19	19	2	3078	3078
../test_instances/final/66_50/cog_19_484.dimacs	0.04	19	19	4	3078	3078
../test_instances/final/66_50/cog_20_1892.dimacs	0.06	20	20	6	3610	3610
../test_instances/final/66_50/cog_20_2439.dimacs	0.41	20	20	14	3610	3610
../test_instances/final/66_50/cog_21_2640.dimacs	0.26	21	21	10	4200	4200
../test_instances/final/66_50/cog_21_690.dimacs	0.19	21	19	10	4200	3078
../test_instances/final/66_50/cog_22_2105.dimacs	0.20	22	22	11	4851	4851
../test_instances/final/66_50/cog_22_3925.dimacs	0.11	22	21	8	4851	4200
../test_instances/final/66_50/cog_23_646.dimacs	2.42	23	23	19	5566	5566
../test_instances/final/66_50/cog_23_81.dimacs	0.12	23	22	6	5566	4851
../test_instances/final/66_50/cog_24_1073.dimacs	0.25	24	24	13	6348	6348
../test_instances/final/66_50/cog_24_1679.dimacs	0.12	24	24	7	6348	6348
../test_instances/final/66_50/cog_25_296.dimacs	3.21	25	25	20	7200	7200
../test_instances/final/66_50/cog_25_84.dimacs	0.40	25	25	14	7200	7200
../test_instances/final/66_50/cog_26_1505.dimacs	0.25	26	26	11	8125	8125
../test_instances/final/66_50/cog_26_3628.dimacs	1.23	26	26	22	8125	8125
../test_instances/final/66_50/cog_27_1330.dimacs	0.92	27	27	22	9126	9126
../test_instances/final/66_50/cog_27_2415.dimacs	0.21	27	25	9	9126	7200
../test_instances/final/66_50/cog_28_1688.dimacs	5.25	28	28	27	10206	10206
../test_instances/final/66_50/cog_28_261.dimacs	5.45	28	28	25	10206	10206
../test_instances/final/66_50/cog_29_320.dimacs	0.44	29	29	12	11368	11368
../test_instances/final/66_50/cog_29_953.dimacs	7.55	29	28	29	11368	10206
../test_instances/final/66_50/cog_30_1047.dimacs	0.17	30	28	5	12615	10206
../test_instances/final/66_50/cog_30_416.dimacs	1.24	30	30	25	12615	12615
../test_instances/final/66_50/cog_31_1602.dimacs	0.21	31	31	2	13950	13950
../test_instances/final/66_50/cog_31_23.dimacs	2.27	31	31	26	13950	13950
../test_instances/final/66_50/cog_32_1124.dimacs	1.20	32	32	14	15376	15376
../test_instances/final/66_50/cog_32_1344.dimacs	9.89	32	32	28	15376	15376
../test_instances/final/66_50/cog_33_1094.dimacs	9.77	33	33	40	16896	16896
../test_instances/final/66_50/cog_33_1673.dimacs	11.26	33	33	48	16896	16896
../test_instances/final/66_50/cog_34_222.dimacs	3.77	34	34	30	18513	18513
../test_instances/final/66_50/cog_34_3576.dimacs	1.09	34	34	18	18513	18513
../test_instances/final/66_50/cog_35_1137.dimacs	0.27	35	34	2	20230	18513
../test_instances/final/66_50/cog_35_691.dimacs	0.65	35	34	14	20230	18513
../test_instances/final/66_50/cog_36_2275.dimacs	0.85	36	34	23	22050	18513
../test_instances/final/66_50/cog_36_71.dimacs	0.63	36	34	13	22050	18513
../test_instances/final/66_50/cog_37_1715.dimacs	1.71	37	35	24	23976	20230
../test_instances/final/66_50/cog_37_2407.dimacs	3.79	37	37	41	23976	23976
../test_instances/final/66_50/cog_38_211.dimacs	0.46	38	35	7	26011	20230
../test_instances/final/66_50/cog_38_2566.dimacs	26.40	38	38	56	26011	26011
../test_instances/final/66_50/cog_39_1510.dimacs	5.33	39	39	36	28158	28158
../test_instances/final/66_50/cog_39_4.dimacs	3.49	39	39	41	28158	28158
../test_instances/final/66_50/cog_40_1281.dimacs	8.31	40	39	35	30420	28158
../test_instances/final/66_50/cog_40_1327.dimacs	2.14	40	39	24	30420	28158
../test_instances/final/66_50/cog_41_1081.dimacs	3.32	41	41	27	32800	32800
../test_instances/final/66_50/cog_41_280.dimacs	0.80	41	39	16	32800	28158
../test_instances/final/66_50/cog_42_1342.dimacs	6.94	42	42	37	35301	35301
../test_instances/final/66_50/cog_42_165.dimacs	1.23	42	37	17	35301	23976
../test_instances/final/66_50/cog_43_1006.dimacs	2358.49	43	43	108	37926	37926
../test_instances/final/66_50/cog_43_1800.dimacs	6.05	43	43	27	37926	37926
../test_instances/final/66_50/cog_44_1288.dimacs	1.03	44	40	18	40678	30420
../test_instances/final/66_50/cog_44_1449.dimacs	8.21	44	44	36	40678	40678
../test_instances/final/66_50/cog_45_875.dimacs	36.30	45	43	64	43560	37926
../test_instances/final/66_50/cog_45_900.dimacs	6.69	45	45	38	43560	43560
../test_instances/final/66_50/cog_46_60.dimacs	0.36	46	39	1	46575	28158
../test_instances/final/66_50/cog_46_686.dimacs	26.80	46	46	51	46575	46575
../test_instances/final/66_50/cog_47_1853.dimacs	79.91	47	47	74	49726	49726
