File	Time (s)	Graph Size	Kernel Size	k	Constraints (total)	Constraints (needed)
../test_instances/final/33_50/cog_49_1338.dimacs	11.73	49	32	33	56448	15376
../test_instances/final/33_50/cog_50_523.dimacs	7.50	50	50	29	60025	52972
../test_instances/final/33_50/cog_50_981.dimacs	61.48	50	48	58	60025	50808
../test_instances/final/33_50/cog_6_1212.dimacs	0.00	6	0	0	75	0
../test_instances/final/33_50/cog_6_1912.dimacs	0.00	6	0	0	75	0
../test_instances/final/33_50/cog_7_1856.dimacs	0.00	7	0	0	126	0
../test_instances/final/33_50/cog_7_3469.dimacs	0.03	7	6	1	126	46
../test_instances/final/33_50/cog_8_3047.dimacs	0.00	8	6	1	196	51
../test_instances/final/33_50/cog_8_3064.dimacs	0.01	8	7	1	196	57
../test_instances/final/33_50/cog_9_1293.dimacs	0.00	9	0	0	288	0
../test_instances/final/33_50/cog_9_3084.dimacs	0.00	9	7	2	288	91
../test_instances/final/50_50/cog_10_435.dimacs	0.01	10	9	1	405	217
../test_instances/final/50_50/cog_10_911.dimacs	0.01	10	9	1	405	225
../test_instances/final/50_50/cog_11_1859.dimacs	0.01	11	11	1	550	550
../test_instances/final/50_50/cog_11_2703.dimacs	0.01	11	11	2	550	353
../test_instances/final/50_50/cog_12_1072.dimacs	0.01	12	10	2	726	405
../test_instances/final/50_50/cog_12_1930.dimacs	0.01	12	12	1	726	497
../test_instances/final/50_50/cog_13_451.dimacs	0.03	13	13	3	936	793
../test_instances/final/50_50/cog_13_614.dimacs	0.00	13	0	0	936	0
../test_instances/final/50_50/cog_14_1144.dimacs	0.03	14	14	4	1183	1183
../test_instances/final/50_50/cog_14_401.dimacs	0.02	14	13	4	1183	936
../test_instances/final/50_50/cog_15_342.dimacs	0.03	15	13	4	1470	936
../test_instances/final/50_50/cog_15_955.dimacs	0.01	15	11	1	1470	550
../test_instances/final/50_50/cog_16_1457.dimacs	0.01	16	5	1	1800	21
../test_instances/final/50_50/cog_16_3052.dimacs	0.65	16	16	12	1800	1800
../test_instances/final/50_50/cog_17_1386.dimacs	0.01	17	12	1	2176	726
../test_instances/final/50_50/cog_17_3926.dimacs	0.10	17	17	8	2176	1682
../test_instances/final/50_50/cog_18_1804.dimacs	0.00	18	0	0	2601	0
